name,year,pop
K?be,1995,1423792.0
K?be,2000,1493398.0
K?be,2005,1525393.0
K?be,2010,1544200.0
K?be,2015,1537272.0
K?chi,1995,339864.0
K?chi,2000,348979.0
K?chi,2005,348990.0
K?chi,2010,343393.0
K?chi,2015,337190.0
Kodaira,1995,172946.0
Kodaira,2000,178623.0
Kodaira,2005,183796.0
Kodaira,2010,187035.0
Kodaira,2015,190005.0
K?fu,1995,206840.0
K?fu,2000,202120.0
K?fu,2005,200096.0
K?fu,2010,198992.0
K?fu,2015,193125.0
K?riyama,1995,326833.0
K?riyama,2000,334824.0
K?riyama,2005,338834.0
K?riyama,2010,338712.0
K?riyama,2015,335444.0
Koshigaya,1995,298253.0
Koshigaya,2000,308307.0
Koshigaya,2005,315792.0
Koshigaya,2010,326313.0
Koshigaya,2015,337498.0
Kuki,1995,151756.0
Kuki,2000,154292.0
Kuki,2005,154684.0
Kuki,2010,154310.0
Kuki,2015,152311.0
Kumagaya,1995,205605.0
Kumagaya,2000,206446.0
Kumagaya,2005,204675.0
Kumagaya,2010,203180.0
Kumagaya,2015,198742.0
Kumamoto,1995,708097.0
Kumamoto,2000,720816.0
Kumamoto,2005,727978.0
Kumamoto,2010,734474.0
Kumamoto,2015,740822.0
Kurashiki,1995,453618.0
Kurashiki,2000,460869.0
Kurashiki,2005,469377.0
Kurashiki,2010,475513.0
Kurashiki,2015,477118.0
Kure,1995,270179.0
Kure,2000,259224.0
Kure,2005,251003.0
Kure,2010,239973.0
Kure,2015,228552.0
Kurume,1995,302741.0
Kurume,2000,304884.0
Kurume,2005,306434.0
Kurume,2010,302402.0
Kurume,2015,304552.0
Kushiro,1995,209680.0
Kushiro,2000,201566.0
Kushiro,2005,190478.0
Kushiro,2010,181169.0
Kushiro,2015,174742.0
Ky?to,1995,1470902.0
Ky?to,2000,1474471.0
Ky?to,2005,1474811.0
Ky?to,2010,1474015.0
Ky?to,2015,1475183.0
Machida,1995,360522.0
Machida,2000,377494.0
Machida,2005,405544.0
Machida,2010,427016.0
Machida,2015,432348.0
Maebashi,1995,338845.0
Maebashi,2000,341738.0
Maebashi,2005,340904.0
Maebashi,2010,340291.0
Maebashi,2015,336154.0
Matsudo,1995,461503.0
Matsudo,2000,464841.0
Matsudo,2005,472579.0
Matsudo,2010,484457.0
Matsudo,2015,483480.0
Matsue,1995,206718.0
Matsue,2000,211564.0
Matsue,2005,210796.0
Matsue,2010,208613.0
Matsue,2015,206230.0
Matsumoto,1995,239539.0
Matsumoto,2000,243465.0
Matsumoto,2005,242541.0
Matsumoto,2010,243037.0
Matsumoto,2015,243293.0
Matsusaka,1995,163131.0
Matsusaka,2000,164504.0
Matsusaka,2005,168973.0
Matsusaka,2010,168017.0
Matsusaka,2015,163863.0
Matsuyama,1995,497203.0
